Vardas Pavardė ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 ND10 ND11 ND12 ND13 ND14 Egz.
Vardas26 Pavardė26 6 9 6 1 1 2 5 8 6 7 8 3 8 4 8
Vardas27 Pavardė27 6 3 9 5 10 10 8 1 10 3 2 2 1 8 0
Vardas28 Pavardė28 1 3 6 7 10 7 2 5 1 3 1 7 7 0 7
Vardas29 Pavardė29 0 7 7 1 5 3 6 8 3 10 2 8 5 7 9
Vardas30 Pavardė30 2 4 5 4 6 4 4 8 10 2 4 4 6 7 4
Vardas31 Pavardė31 3 5 8 9 5 2 2 7 0 9 6 1 9 2 3
Vardas32 Pavardė32 8 3 6 5 6 10 1 5 5 2 6 0 8 0 5
Vardas33 Pavardė33 4 2 8 0 5 2 1 2 4 8 10 0 0 6 10
Vardas34 Pavardė34 3 2 2 0 6 0 2 5 0 2 10 7 6 9 6
Vardas35 Pavardė35 2 6 8 6 3 8 7 0 9 3 8 9 3 2 9
Vardas36 Pavardė36 10 4 1 7 3 4 10 5 9 4 9 0 6 3 1
Vardas37 Pavardė37 7 8 8 3 5 5 4 5 3 10 5 10 8 3 4
Vardas38 Pavardė38 0 7 7 10 3 8 3 8 0 10 5 1 2 0 3
Vardas39 Pavardė39 6 6 4 0 2 5 8 8 9 9 1 7 7 6 4
Vardas40 Pavardė40 8 0 2 10 6 0 9 9 2 3 8 4 1 8 6
Vardas41 Pavardė41 3 7 5 9 2 8 0 4 4 6 6 3 4 1 10
Vardas42 Pavardė42 2 4 3 0 6 4 8 1 4 10 4 8 5 8 3
Vardas43 Pavardė43 2 8 0 0 1 4 3 1 7 9 10 7 9 6 1
Vardas44 Pavardė44 7 9 4 8 0 9 7 8 5 5 10 2 4 2 9
Vardas45 Pavardė45 3 3 5 9 4 2 10 3 9 0 3 2 3 5 7
Vardas46 Pavardė46 10 4 5 7 1 6 1 2 2 8 0 1 10 5 9
Vardas47 Pavardė47 2 3 2 1 1 6 9 0 10 8 4 0 10 9 2
Vardas48 Pavardė48 0 1 1 5 4 4 9 10 4 2 8 5 4 2 3
Vardas49 Pavardė49 0 0 4 4 9 8 7 3 7 9 2 7 4 4 3
Vardas50 Pavardė50 4 8 3 4 5 0 2 10 5 10 5 1 10 10 1
Vardas51 Pavardė51 2 5 2 9 9 3 6 3 5 5 7 0 5 2 4
Vardas52 Pavardė52 2 2 1 10 8 5 4 2 0 1 4 2 4 8 2
Vardas53 Pavardė53 2 8 10 4 1 0 1 9 0 2 9 4 2 1 7
Vardas54 Pavardė54 4 1 1 1 2 9 8 3 2 8 0 7 5 0 4
Vardas55 Pavardė55 1 2 6 2 8 3 5 10 9 1 7 2 8 6 1
Vardas56 Pavardė56 10 9 2 2 7 6 4 9 3 6 5 3 8 0 1
Vardas57 Pavardė57 9 10 8 2 3 3 0 0 7 8 4 5 4 10 0
Vardas58 Pavardė58 0 1 6 7 7 7 10 6 7 2 1 0 4 6 10
Vardas59 Pavardė59 4 10 4 6 4 8 7 8 10 10 5 3 0 3 8
Vardas60 Pavardė60 10 7 4 4 3 1 7 3 9 4 4 4 6 7 3
Vardas61 Pavardė61 5 7 0 3 3 4 1 5 5 7 5 8 4 0 6
Vardas62 Pavardė62 10 10 10 10 6 6 7 5 0 3 1 10 9 10 0
Vardas63 Pavardė63 0 4 10 9 9 10 4 2 4 4 0 0 5 7 6
Vardas64 Pavardė64 5 5 5 8 10 4 1 0 2 4 9 8 10 9 3
Vardas65 Pavardė65 3 1 1 1 10 1 10 1 6 6 10 1 2 6 6
Vardas66 Pavardė66 4 6 3 9 2 4 5 4 9 8 0 8 7 9 3
Vardas67 Pavardė67 9 7 5 8 10 5 8 10 7 4 8 9 0 10 8
Vardas68 Pavardė68 7 4 2 7 5 8 5 10 6 10 3 3 2 10 5
Vardas69 Pavardė69 0 1 2 5 0 10 0 6 5 1 8 0 2 0 1
Vardas70 Pavardė70 0 4 4 1 5 8 3 4 2 8 2 0 2 7 1
Vardas71 Pavardė71 6 0 6 9 5 5 1 0 4 8 5 7 7 5 9
Vardas72 Pavardė72 9 10 7 2 8 2 6 2 1 3 8 0 2 5 0
Vardas73 Pavardė73 9 2 8 10 0 7 8 0 4 5 2 1 0 1 4
Vardas74 Pavardė74 10 3 7 8 2 4 2 6 10 3 5 3 10 5 6
Vardas75 Pavardė75 10 6 9 6 8 2 1 6 9 0 4 0 9 7 10
Vardas76 Pavardė76 6 2 9 5 8 1 9 9 10 1 7 3 4 7 1
Vardas77 Pavardė77 4 9 9 0 7 10 2 2 4 1 7 6 8 8 4
Vardas78 Pavardė78 5 6 0 10 3 3 9 8 6 10 0 7 0 8 7
Vardas79 Pavardė79 0 2 8 5 6 2 10 7 1 8 7 6 9 6 3
Vardas80 Pavardė80 6 0 5 7 1 3 9 9 8 0 7 1 3 9 4
Vardas81 Pavardė81 4 8 2 0 0 2 3 3 7 2 0 5 0 2 1
Vardas82 Pavardė82 2 10 2 4 8 1 2 10 4 1 5 3 2 6 1
Vardas83 Pavardė83 10 10 6 1 5 8 0 1 0 1 5 3 6 10 3
Vardas84 Pavardė84 8 5 0 5 9 3 4 7 6 2 2 8 5 7 2
Vardas85 Pavardė85 1 5 3 8 4 5 5 4 9 4 6 6 9 8 9
Vardas86 Pavardė86 7 5 7 4 2 2 7 2 10 4 9 6 3 6 0
Vardas87 Pavardė87 2 9 2 6 1 10 4 8 2 7 5 4 8 6 5
Vardas88 Pavardė88 9 2 2 10 2 9 6 0 7 5 7 2 7 0 1
Vardas89 Pavardė89 4 0 7 0 5 8 2 7 9 2 8 5 0 7 2
Vardas90 Pavardė90 0 9 7 4 0 8 5 8 10 5 9 4 3 5 1
Vardas91 Pavardė91 7 3 5 3 7 7 10 4 5 10 3 0 10 9 6
Vardas92 Pavardė92 6 0 4 2 9 6 7 4 10 7 0 7 10 0 6
Vardas93 Pavardė93 4 4 2 4 7 2 9 10 5 6 7 9 6 10 7
Vardas94 Pavardė94 4 7 5 7 10 0 2 1 5 2 0 4 9 1 6
Vardas95 Pavardė95 0 4 3 1 4 10 5 9 6 5 0 0 1 4 2
Vardas96 Pavardė96 6 4 10 6 3 2 1 5 8 9 9 10 0 3 8
Vardas97 Pavardė97 3 8 5 5 5 7 5 2 8 0 10 4 7 2 2
Vardas98 Pavardė98 6 0 2 6 4 7 3 6 8 8 6 10 2 1 4
Vardas99 Pavardė99 5 9 10 4 7 7 8 2 2 10 5 5 1 3 5
Vardas100 Pavardė100 3 2 3 2 10 3 3 7 2 4 5 10 2 7 9
Vardas101 Pavardė101 5 1 2 5 6 1 4 5 6 7 5 3 7 4 9
Vardas102 Pavardė102 4 0 1 0 5 5 2 0 4 3 0 4 0 3 3
Vardas103 Pavardė103 1 1 9 2 4 7 2 2 6 9 8 4 4 10 0
Vardas104 Pavardė104 8 0 1 5 5 7 0 1 9 3 4 3 10 1 9
Vardas105 Pavardė105 3 7 2 4 0 7 9 7 7 8 5 1 10 10 10
Vardas106 Pavardė106 10 4 2 0 4 4 6 7 6 0 6 2 8 4 3
Vardas107 Pavardė107 7 8 3 4 7 8 2 3 2 3 9 6 1 1 3
Vardas108 Pavardė108 1 8 10 3 4 5 9 2 6 8 5 10 7 2 3
Vardas109 Pavardė109 7 10 3 1 1 9 1 4 5 5 0 10 0 1 2
Vardas110 Pavardė110 4 8 9 4 10 9 2 6 4 7 2 3 9 9 4
Vardas111 Pavardė111 10 5 3 3 1 7 0 5 9 7 10 2 5 3 3
Vardas112 Pavardė112 6 4 5 2 4 3 4 8 9 6 5 6 10 6 0
Vardas113 Pavardė113 6 3 5 9 2 9 8 6 1 0 4 6 10 5 8
Vardas114 Pavardė114 7 8 7 3 9 2 10 8 4 2 6 0 8 7 0
Vardas115 Pavardė115 5 4 4 2 3 10 8 5 0 8 0 6 8 3 10
Vardas116 Pavardė116 0 10 8 1 3 0 10 8 4 8 3 4 1 1 10
Vardas117 Pavardė117 10 5 1 8 2 10 1 1 2 1 4 3 8 0 10
Vardas118 Pavardė118 10 3 8 10 7 7 8 0 4 3 5 3 1 4 1
Vardas119 Pavardė119 3 6 4 9 4 7 5 0 0 9 1 0 2 8 4
Vardas120 Pavardė120 0 6 5 8 0 2 1 10 1 1 5 4 4 2 2
Vardas121 Pavardė121 7 6 2 2 2 5 6 0 6 7 6 7 9 5 7
Vardas122 Pavardė122 4 1 1 6 1 9 6 7 2 6 0 4 7 7 2
Vardas123 Pavardė123 1 3 6 8 0 3 6 6 5 1 9 7 5 9 2
Vardas124 Pavardė124 4 10 8 10 1 2 6 3 6 3 6 5 3 2 3
Vardas125 Pavardė125 6 6 5 10 8 1 1 3 8 10 3 9 8 8 9
Vardas126 Pavardė126 8 7 2 9 10 4 0 1 10 1 4 7 1 2 8
Vardas127 Pavardė127 5 7 9 2 6 8 7 3 1 8 3 0 0 3 2
Vardas128 Pavardė128 1 2 8 3 6 0 3 8 2 3 3 2 10 8 6
Vardas129 Pavardė129 0 9 4 1 7 1 7 1 1 2 4 0 5 2 9
Vardas130 Pavardė130 5 7 0 2 1 7 4 2 1 6 1 8 5 6 7
Vardas131 Pavardė131 4 8 7 8 4 9 7 2 6 8 9 9 2 5 1
Vardas132 Pavardė132 3 6 4 1 10 4 10 1 3 7 7 4 4 4 2
Vardas133 Pavardė133 3 1 3 2 5 2 1 2 0 2 3 9 8 7 4
Vardas134 Pavardė134 5 7 1 9 9 4 8 9 6 6 0 10 10 0 1
Vardas135 Pavardė135 1 4 8 2 3 9 5 1 1 3 9 6 6 10 9
Vardas136 Pavardė136 0 1 4 1 0 2 0 6 3 8 2 1 7 10 3
Vardas137 Pavardė137 2 3 0 10 3 8 7 0 3 5 7 4 4 0 8
Vardas138 Pavardė138 4 3 9 10 5 2 1 0 6 7 9 0 1 2 1
Vardas139 Pavardė139 6 7 7 4 1 5 1 2 9 7 9 7 9 6 10
Vardas140 Pavardė140 7 4 6 0 1 6 1 0 2 5 5 1 9 5 2
Vardas141 Pavardė141 1 0 8 4 6 9 3 9 10 8 8 1 1 1 7
Vardas142 Pavardė142 10 9 9 7 8 7 10 2 2 6 10 8 4 8 8
Vardas143 Pavardė143 8 7 3 9 1 2 0 7 7 8 3 3 7 1 2
Vardas144 Pavardė144 5 7 7 8 10 7 4 2 8 5 3 0 6 6 3
Vardas145 Pavardė145 5 4 3 6 3 8 2 6 10 7 2 9 10 6 1
Vardas146 Pavardė146 10 3 10 9 6 1 8 2 6 4 2 1 4 6 2
Vardas147 Pavardė147 9 9 4 1 6 10 9 3 2 10 8 2 8 8 7
Vardas148 Pavardė148 9 10 5 8 5 5 10 8 10 0 7 6 0 3 7
Vardas149 Pavardė149 7 3 1 9 4 0 6 9 6 1 4 9 8 8 9
Vardas150 Pavardė150 2 2 3 6 7 9 6 0 7 5 0 10 9 6 4
Vardas151 Pavardė151 8 3 6 5 9 9 7 5 4 2 5 5 9 9 5
Vardas152 Pavardė152 9 1 7 7 7 5 4 1 8 6 7 0 0 1 2
Vardas153 Pavardė153 10 6 1 1 10 0 2 7 6 4 7 9 3 3 3
Vardas154 Pavardė154 10 3 7 7 9 1 5 7 7 0 10 3 9 5 8
Vardas155 Pavardė155 1 9 8 1 10 3 4 5 5 8 4 6 5 10 1
Vardas156 Pavardė156 4 6 10 0 10 8 0 9 10 5 3 3 0 9 2
Vardas157 Pavardė157 8 8 9 1 6 8 5 0 8 7 5 10 6 4 0
Vardas158 Pavardė158 1 1 10 0 0 2 3 4 10 10 0 5 3 6 5
Vardas159 Pavardė159 1 5 3 2 3 8 9 3 9 1 6 10 1 6 9
Vardas160 Pavardė160 9 0 4 5 3 3 5 9 1 4 10 9 4 7 1
Vardas161 Pavardė161 10 7 6 7 1 3 5 2 2 10 4 5 10 1 0
Vardas162 Pavardė162 4 6 9 3 4 5 0 6 5 6 3 6 5 0 5
Vardas163 Pavardė163 5 9 0 2 8 4 7 7 9 1 5 1 5 1 8
Vardas164 Pavardė164 1 6 7 7 1 4 0 5 10 8 6 7 9 3 10
Vardas165 Pavardė165 0 4 3 10 0 2 6 6 4 5 0 7 3 5 2
Vardas166 Pavardė166 9 3 4 3 2 8 6 8 1 2 2 0 7 1 8
Vardas167 Pavardė167 9 8 3 10 4 4 1 6 5 8 9 1 3 7 6
Vardas168 Pavardė168 9 9 6 5 1 3 0 0 7 5 3 10 8 0 3
Vardas169 Pavardė169 1 7 9 2 9 6 0 7 4 10 1 8 7 4 10
Vardas170 Pavardė170 3 5 0 1 0 9 2 6 0 2 8 10 2 4 4
Vardas171 Pavardė171 3 1 10 2 10 6 4 7 1 7 1 7 6 4 4
Vardas172 Pavardė172 9 10 1 8 6 10 1 7 2 1 2 7 4 9 6
Vardas173 Pavardė173 5 6 5 8 10 1 4 1 9 2 3 6 10 7 3
Vardas174 Pavardė174 0 1 8 0 2 1 8 7 7 4 5 5 0 4 7
Vardas175 Pavardė175 1 0 1 4 8 10 7 6 5 2 3 10 3 5 0
Vardas176 Pavardė176 9 8 5 7 2 2 3 1 3 10 3 5 2 3 8
Vardas177 Pavardė177 9 7 3 1 1 7 2 10 7 9 4 0 7 2 6
Vardas178 Pavardė178 5 2 4 1 2 0 9 9 4 8 3 8 6 9 1
Vardas179 Pavardė179 10 10 2 7 0 5 6 0 0 8 5 5 1 8 3
Vardas180 Pavardė180 2 6 6 0 0 8 9 1 1 5 9 1 6 5 4
Vardas181 Pavardė181 10 7 9 5 3 3 5 7 6 8 9 3 0 2 2
Vardas182 Pavardė182 4 6 7 3 8 5 2 6 10 5 2 3 10 0 8
Vardas183 Pavardė183 9 2 9 1 9 8 2 2 9 0 6 10 5 6 1
Vardas184 Pavardė184 0 5 1 8 2 9 9 1 9 4 9 1 10 4 8
Vardas185 Pavardė185 8 2 10 9 5 3 10 0 2 7 0 1 8 3 3
Vardas186 Pavardė186 7 7 0 3 2 2 3 2 1 1 0 9 1 6 1
Vardas187 Pavardė187 8 5 4 9 0 7 8 0 1 5 5 6 2 5 5
Vardas188 Pavardė188 4 9 1 7 6 0 6 8 9 8 1 4 1 7 1
Vardas189 Pavardė189 3 9 1 5 5 7 0 4 9 6 7 0 2 6 8
Vardas190 Pavardė190 4 3 2 2 3 3 3 8 2 0 5 3 10 4 8
Vardas191 Pavardė191 0 4 9 2 1 4 3 8 10 3 10 1 3 0 2
Vardas192 Pavardė192 2 6 2 10 7 6 7 7 2 7 1 7 9 1 0
Vardas193 Pavardė193 10 5 1 0 9 0 2 9 6 7 1 0 3 3 1
Vardas194 Pavardė194 3 7 4 6 5 0 5 7 1 5 2 4 4 6 0
Vardas195 Pavardė195 5 9 9 5 1 7 1 8 9 5 6 1 4 0 6
Vardas196 Pavardė196 9 6 2 5 2 3 3 4 0 3 5 6 6 9 8
Vardas197 Pavardė197 9 9 5 5 2 8 10 4 4 7 0 6 3 10 10
Vardas198 Pavardė198 7 0 10 5 3 1 0 6 0 0 2 1 6 9 9
Vardas199 Pavardė199 3 3 3 0 10 2 7 10 2 5 8 4 9 9 4
Vardas200 Pavardė200 1 0 4 4 6 7 0 9 2 8 10 8 9 5 10
Vardas201 Pavardė201 8 7 4 9 1 8 8 5 6 6 7 3 2 10 1
Vardas202 Pavardė202 6 9 1 7 5 2 4 8 0 0 8 1 2 7 6
Vardas203 Pavardė203 7 5 1 0 1 1 7 3 5 0 2 5 4 10 9
Vardas204 Pavardė204 4 6 3 5 4 9 3 4 8 4 4 1 5 7 1
Vardas205 Pavardė205 1 5 8 5 5 10 7 1 3 2 6 5 9 8 3
Vardas206 Pavardė206 7 10 10 7 3 7 7 1 2 7 10 0 8 10 5
Vardas207 Pavardė207 5 8 2 4 9 0 10 10 10 5 2 0 3 4 8
Vardas208 Pavardė208 7 9 6 7 4 9 0 3 1 3 3 2 7 7 4
Vardas209 Pavardė209 10 3 1 2 5 1 5 4 4 5 6 0 1 0 8
Vardas210 Pavardė210 5 6 9 4 8 8 1 3 8 10 7 5 10 10 5
Vardas211 Pavardė211 7 6 1 6 5 7 2 1 6 3 0 6 3 3 5
Vardas212 Pavardė212 2 0 3 8 10 6 3 4 6 1 8 5 10 3 2
Vardas213 Pavardė213 0 9 6 6 1 10 10 1 0 2 5 2 7 10 7
Vardas214 Pavardė214 2 2 10 10 1 3 8 1 2 3 6 3 4 10 4
Vardas215 Pavardė215 8 4 9 5 3 9 2 7 9 7 6 5 6 7 9
Vardas216 Pavardė216 0 6 3 10 8 0 9 6 9 5 7 3 7 5 9
Vardas217 Pavardė217 4 10 7 6 5 3 5 3 2 0 3 3 6 2 0
Vardas218 Pavardė218 10 10 2 5 2 6 9 10 6 8 2 0 5 9 3
Vardas219 Pavardė219 2 3 9 8 9 9 7 8 6 4 6 5 4 10 9
Vardas220 Pavardė220 8 10 10 2 2 2 5 0 8 0 10 5 7 9 7
Vardas221 Pavardė221 2 8 2 0 8 10 2 4 7 9 7 2 2 7 9
Vardas222 Pavardė222 6 4 0 10 4 3 10 8 7 7 2 4 1 3 9
Vardas223 Pavardė223 2 2 1 7 4 9 2 1 9 1 3 7 1 9 9
Vardas224 Pavardė224 6 6 0 3 8 10 3 9 3 6 4 3 3 2 8
Vardas225 Pavardė225 8 0 8 0 8 7 1 4 9 0 4 10 2 7 8
Vardas226 Pavardė226 4 6 3 9 3 6 4 4 7 5 10 3 1 5 10
Vardas227 Pavardė227 2 0 7 3 2 8 2 10 2 2 10 6 9 1 2
Vardas228 Pavardė228 1 5 10 1 3 3 2 4 9 9 10 2 2 0 3
Vardas229 Pavardė229 3 0 2 3 0 2 2 6 8 6 8 8 5 9 4
Vardas230 Pavardė230 5 1 2 8 6 0 2 0 5 0 3 3 2 7 0
Vardas231 Pavardė231 3 3 5 9 9 8 4 6 2 10 8 1 1 8 9
Vardas232 Pavardė232 4 7 9 2 6 3 2 3 7 1 0 1 10 1 0
Vardas233 Pavardė233 1 2 9 7 4 5 4 8 1 1 2 8 8 1 0
Vardas234 Pavardė234 4 10 6 6 2 2 8 4 9 4 9 4 4 9 3
Vardas235 Pavardė235 0 3 5 0 9 6 8 8 3 4 1 0 7 8 1
Vardas236 Pavardė236 6 8 4 6 5 6 4 7 8 2 7 6 10 9 6
Vardas237 Pavardė237 0 3 9 5 0 0 7 5 2 1 6 10 10 8 1
Vardas238 Pavardė238 8 6 5 4 0 10 10 1 1 6 8 7 1 6 5
Vardas239 Pavardė239 9 0 3 6 2 4 0 6 2 7 8 1 1 5 4
Vardas240 Pavardė240 9 6 3 9 4 1 8 9 3 2 4 4 1 9 5
Vardas241 Pavardė241 7 0 0 7 4 6 5 6 9 9 6 5 1 5 8
Vardas242 Pavardė242 2 3 10 6 1 8 5 8 9 10 0 3 9 7 5
Vardas243 Pavardė243 3 3 8 6 5 9 1 6 1 8 10 9 4 0 5
Vardas244 Pavardė244 0 2 0 10 2 7 8 1 8 0 8 8 9 0 2
Vardas245 Pavardė245 10 7 6 9 6 2 7 3 5 3 2 3 0 7 4
Vardas246 Pavardė246 7 9 1 9 3 1 9 0 7 0 1 4 7 3 5
Vardas247 Pavardė247 3 2 9 6 2 4 2 3 1 6 7 4 8 10 4
Vardas248 Pavardė248 0 8 5 5 10 1 8 2 3 10 7 7 9 5 10
Vardas249 Pavardė249 8 3 8 4 10 6 3 10 3 4 1 2 6 1 6
Vardas250 Pavardė250 10 3 7 0 7 7 4 0 5 2 3 3 2 1 3
Vardas251 Pavardė251 5 8 9 6 8 7 5 1 2 2 3 2 9 7 7
Vardas252 Pavardė252 7 2 0 2 5 1 3 7 10 8 5 9 6 0 7
Vardas253 Pavardė253 8 1 5 3 10 8 6 3 0 9 5 10 10 10 2
Vardas254 Pavardė254 6 1 6 4 5 2 7 2 5 1 10 0 7 3 4
Vardas255 Pavardė255 8 5 8 0 3 7 0 8 4 1 9 7 3 7 9
Vardas256 Pavardė256 4 4 2 5 4 4 8 3 6 9 4 7 4 7 9
Vardas257 Pavardė257 4 10 0 2 9 3 9 3 7 7 2 6 10 9 10
Vardas258 Pavardė258 1 2 5 7 10 2 2 6 1 8 9 0 9 7 2
Vardas259 Pavardė259 1 1 5 9 1 2 5 0 7 9 2 4 9 1 6
Vardas260 Pavardė260 5 0 9 6 6 0 2 10 2 7 1 5 4 10 10
Vardas261 Pavardė261 3 5 8 0 6 10 4 8 4 0 4 9 2 7 0
Vardas262 Pavardė262 4 0 4 9 6 3 7 4 5 5 7 8 9 2 2
Vardas263 Pavardė263 3 8 1 7 10 6 2 1 9 2 1 7 2 10 1
Vardas264 Pavardė264 2 3 7 8 2 7 5 3 8 4 10 4 0 7 8
Vardas265 Pavardė265 10 6 9 0 1 6 5 4 7 5 4 1 8 1 3
Vardas266 Pavardė266 5 9 5 7 5 2 0 3 5 0 1 7 9 9 5
Vardas267 Pavardė267 8 10 4 9 10 8 4 9 7 4 7 7 7 4 3
Vardas268 Pavardė268 5 7 2 0 0 10 2 0 9 7 8 6 5 7 6
Vardas269 Pavardė269 6 6 7 9 1 9 3 9 1 8 0 1 8 0 4
Vardas270 Pavardė270 3 5 1 2 4 8 10 6 1 9 4 5 10 6 4
Vardas271 Pavardė271 6 2 10 0 6 4 9 7 7 0 6 4 3 4 6
Vardas272 Pavardė272 9 10 3 8 7 6 4 8 9 10 7 5 0 3 2
Vardas273 Pavardė273 2 9 6 1 10 9 6 9 4 1 7 2 10 6 8
Vardas274 Pavardė274 7 9 8 7 3 1 0 3 8 5 4 5 10 9 0
Vardas275 Pavardė275 4 3 5 2 6 3 9 2 7 3 5 9 7 0 8
Vardas276 Pavardė276 6 9 9 9 3 4 7 10 10 9 8 7 7 10 4
Vardas277 Pavardė277 8 1 0 1 9 7 3 9 0 5 7 0 2 3 10
Vardas278 Pavardė278 4 5 9 7 2 1 9 6 5 9 0 3 8 0 8
Vardas279 Pavardė279 6 1 4 9 2 5 3 9 6 0 1 2 2 9 7
Vardas280 Pavardė280 2 7 10 8 1 1 6 1 2 5 6 0 6 9 10
Vardas281 Pavardė281 4 2 9 5 10 5 0 2 4 8 5 9 4 5 8
Vardas282 Pavardė282 0 9 8 4 4 1 2 1 2 8 5 2 3 1 3
Vardas283 Pavardė283 3 8 9 5 6 5 7 0 0 0 5 4 10 2 8
Vardas284 Pavardė284 0 7 2 2 1 5 4 7 4 3 9 5 6 1 5
Vardas285 Pavardė285 1 1 5 3 3 5 0 4 8 3 9 8 2 10 6
Vardas286 Pavardė286 3 8 5 1 8 0 8 1 4 1 7 2 8 5 0
Vardas287 Pavardė287 4 3 5 2 10 9 10 4 9 1 8 7 10 8 3
Vardas288 Pavardė288 10 8 10 4 10 1 4 7 3 1 3 5 10 2 5
Vardas289 Pavardė289 6 4 4 5 3 9 2 7 2 4 8 10 2 4 7
Vardas290 Pavardė290 0 5 1 0 3 4 4 5 0 8 7 4 4 8 7
Vardas291 Pavardė291 5 3 9 5 0 1 5 8 5 5 1 0 1 9 8
Vardas292 Pavardė292 1 0 1 4 5 4 10 0 7 10 6 10 0 4 4
Vardas293 Pavardė293 1 1 10 8 4 5 2 10 0 4 10 10 2 0 4
Vardas294 Pavardė294 9 0 6 0 7 4 1 1 0 2 10 2 0 8 7
Vardas295 Pavardė295 0 7 1 4 8 0 6 4 7 0 2 2 6 7 0
Vardas296 Pavardė296 3 6 9 10 1 6 1 3 4 8 3 3 5 5 9
Vardas297 Pavardė297 3 1 2 7 8 9 5 7 7 9 10 0 3 1 1
Vardas298 Pavardė298 2 3 10 10 8 3 8 1 0 2 9 6 7 5 2
Vardas299 Pavardė299 0 0 2 2 5 9 7 0 6 5 1 6 6 8 6
Vardas300 Pavardė300 7 4 0 5 5 1 7 1 2 3 10 4 4 6 8
Vardas301 Pavardė301 2 5 1 3 8 9 6 8 3 2 8 2 3 5 5
Vardas302 Pavardė302 1 4 5 7 5 7 4 0 4 7 10 5 5 2 0
Vardas303 Pavardė303 5 3 10 6 5 5 8 3 6 6 4 10 0 7 2
Vardas304 Pavardė304 8 1 8 6 7 5 2 5 6 10 8 9 2 9 9
Vardas305 Pavardė305 10 10 5 2 3 7 9 1 7 0 2 8 7 10 7
Vardas306 Pavardė306 4 1 6 0 5 4 9 0 6 0 10 6 7 1 9
Vardas307 Pavardė307 3 7 4 6 7 0 0 4 0 9 5 5 9 5 8
Vardas308 Pavardė308 4 6 2 2 6 4 8 9 10 2 0 3 10 9 8
Vardas309 Pavardė309 8 5 8 1 9 9 0 6 8 0 3 3 10 9 1
Vardas310 Pavardė310 2 10 3 4 4 0 7 5 3 7 10 0 8 8 10
Vardas311 Pavardė311 1 9 3 4 0 8 3 4 4 3 3 0 0 3 2
Vardas312 Pavardė312 0 2 1 10 4 0 10 10 8 10 9 8 10 1 3
Vardas313 Pavardė313 3 6 0 8 5 9 7 6 2 4 2 9 10 10 5
Vardas314 Pavardė314 0 0 2 10 2 0 2 8 1 8 2 0 9 1 8
Vardas315 Pavardė315 1 8 6 9 6 1 6 5 10 3 7 3 2 8 4
Vardas316 Pavardė316 5 5 4 9 1 8 10 4 6 10 7 9 2 0 0
Vardas317 Pavardė317 8 8 4 7 9 9 2 7 7 9 1 9 6 6 5
Vardas318 Pavardė318 7 0 0 10 5 8 4 0 4 1 8 10 9 3 9
Vardas319 Pavardė319 8 7 2 1 3 9 10 10 7 9 4 0 6 6 2
Vardas320 Pavardė320 0 4 0 0 5 5 2 3 0 7 7 9 10 5 3
Vardas321 Pavardė321 7 6 1 4 4 8 8 9 0 8 9 4 8 2 9
Vardas322 Pavardė322 7 6 7 7 3 6 8 8 8 6 1 9 9 0 8
